symbol;title;sector;subsector
WYN;Wyndham Worldwide;Consumer Discretionary;Hotels, Resorts & Cruise Lines
SNA;Snap-On Inc.;Consumer Discretionary;Household Appliances
SWK;Stanley Black & Decker;Consumer Discretionary;Household Appliances
WHR;Whirlpool Corp.;Consumer Discretionary;Household Appliances
NWL;Newell Rubbermaid Co.;Consumer Discretionary;Housewares & Specialties
AMZN;Amazon.com Inc;Consumer Discretionary;Internet Retail
TRIP;TripAdvisor;Consumer Discretionary;Internet Retail
HAS;Hasbro Inc.;Consumer Discretionary;Leisure Products
MAT;Mattel Inc.;Consumer Discretionary;Leisure Products
HOG;Harley-Davidson;Consumer Discretionary;Motorcycle Manufacturers
GCI;Gannett Co.;Consumer Discretionary;Publishing
NWSA;News Corporation;Consumer Discretionary;Publishing
FOXA;Twenty-First Century Fox;Consumer Discretionary;Publishing
CMG;Chipotle Mexican Grill;Consumer Discretionary;Restaurants
DRI;Darden Restaurants;Consumer Discretionary;Restaurants
MCD;McDonald's Corp.;Consumer Discretionary;Restaurants
SBUX;Starbucks Corp.;Consumer Discretionary;Restaurants
YUM;Yum! Brands Inc;Consumer Discretionary;Restaurants
TSCO;Tractor Supply Company;Consumer Discretionary;Specialty Retail
AN;AutoNation Inc;Consumer Discretionary;Specialty Stores
AZO;AutoZone Inc;Consumer Discretionary;Specialty Stores
BBBY;Bed Bath & Beyond;Consumer Discretionary;Specialty Stores
KMX;Carmax Inc;Consumer Discretionary;Specialty Stores
GME;GameStop Corp.;Consumer Discretionary;Specialty Stores
GPC;Genuine Parts;Consumer Discretionary;Specialty Stores
ORLY;O'Reilly Automotive;Consumer Discretionary;Specialty Stores
PETM;PetSmart, Inc.;Consumer Discretionary;Specialty Stores
SPLS;Staples Inc.;Consumer Discretionary;Specialty Stores
GT;Goodyear Tire & Rubber;Consumer Discretionary;Tires & Rubber
ADM;Archer-Daniels-Midland Co;Consumer Staples;Agricultural Products
TAP;Molson Coors Brewing Company;Consumer Staples;Brewers
BF.B;Brown-Forman Corporation;Consumer Staples;Distillers & Vintners
STZ;Constellation Brands;Consumer Staples;Distillers & Vintners
CVS;CVS Caremark Corp.;Consumer Staples;Drug Retail
WBA;Walgreens Boots Alliance;Consumer Staples;Drug Retail
SYY;Sysco Corp.;Consumer Staples;Food Distributors
KR;Kroger Co.;Consumer Staples;Food Retail
WFM;Whole Foods Market;Consumer Staples;Food Retail
CLX;The Clorox Company;Consumer Staples;Household Products
CL;Colgate-Palmolive;Consumer Staples;Household Products
KMB;Kimberly-Clark;Consumer Staples;Household Products
COST;Costco Co.;Consumer Staples;Hypermarkets & Super Centers
WMT;Wal-Mart Stores;Consumer Staples;Hypermarkets & Super Centers
CPB;Campbell Soup;Consumer Staples;Packaged Foods & Meats
CAG;ConAgra Foods Inc.;Consumer Staples;Packaged Foods & Meats
GIS;General Mills;Consumer Staples;Packaged Foods & Meats
HRL;Hormel Foods Corp.;Consumer Staples;Packaged Foods & Meats
K;Kellogg Co.;Consumer Staples;Packaged Foods & Meats
GMCR;Keurig Green Mountain;Consumer Staples;Packaged Foods & Meats
KRFT;Kraft Foods Group;Consumer Staples;Packaged Foods & Meats
MKC;McCormick & Co.;Consumer Staples;Packaged Foods & Meats
MJN;Mead Johnson;Consumer Staples;Packaged Foods & Meats
MDLZ;Mondelez International;Consumer Staples;Packaged Foods & Meats
SJM;Smucker (J.M.);Consumer Staples;Packaged Foods & Meats
HSY;The Hershey Company;Consumer Staples;Packaged Foods & Meats
TSN;Tyson Foods;Consumer Staples;Packaged Foods & Meats
AVP;Avon Products;Consumer Staples;Personal Products
EL;Estee Lauder Cos.;Consumer Staples;Personal Products
PG;Procter & Gamble;Consumer Staples;Personal Products
KO;The Coca Cola Company;Consumer Staples;Soft Drinks
CCE;Coca-Cola Enterprises;Consumer Staples;Soft Drinks
DPS;Dr Pepper Snapple Group;Consumer Staples;Soft Drinks
MNST;Monster Beverage;Consumer Staples;Soft Drinks
PEP;PepsiCo Inc.;Consumer Staples;Soft Drinks
MO;Altria Group Inc;Consumer Staples;Tobacco
LO;Lorillard Inc.;Consumer Staples;Tobacco
PM;Philip Morris International;Consumer Staples;Tobacco
RAI;Reynolds American Inc.;Consumer Staples;Tobacco
CNX;CONSOL Energy Inc.;Energy;Coal & Consumable Fuels
CHK;Chesapeake Energy;Energy;Integrated Oil & Gas
CVX;Chevron Corp.;Energy;Integrated Oil & Gas
XOM;Exxon Mobil Corp.;Energy;Integrated Oil & Gas
HES;Hess Corporation;Energy;Integrated Oil & Gas
MUR;Murphy Oil;Energy;Integrated Oil & Gas
DO;Diamond Offshore Drilling;Energy;Oil & Gas Drilling
ESV;Ensco plc;Energy;Oil & Gas Drilling
HP;Helmerich & Payne;Energy;Oil & Gas Drilling
NBR;Nabors Industries Ltd.;Energy;Oil & Gas Drilling
NE;Noble Corp;Energy;Oil & Gas Drilling
RIG;Transocean;Energy;Oil & Gas Drilling
BHI;Baker Hughes Inc;Energy;Oil & Gas Equipment & Services
CAM;Cameron International Corp.;Energy;Oil & Gas Equipment & Services
FTI;FMC Technologies Inc.;Energy;Oil & Gas Equipment & Services
HAL;Halliburton Co.;Energy;Oil & Gas Equipment & Services
NOV;National Oilwell Varco Inc.;Energy;Oil & Gas Equipment & Services
SLB;Schlumberger Ltd.;Energy;Oil & Gas Equipment & Services
APC;Anadarko Petroleum Corp;Energy;Oil & Gas Exploration & Production
APA;Apache Corporation;Energy;Oil & Gas Exploration & Production
COG;Cabot Oil & Gas;Energy;Oil & Gas Exploration & Production
XEC;Cimarex Energy;Energy;Oil & Gas Exploration & Production
COP;ConocoPhillips;Energy;Oil & Gas Exploration & Production
DNR;Denbury Resources Inc.;Energy;Oil & Gas Exploration & Production
DVN;Devon Energy Corp.;Energy;Oil & Gas Exploration & Production
EOG;EOG Resources;Energy;Oil & Gas Exploration & Production
EQT;EQT Corporation;Energy;Oil & Gas Exploration & Production
MRO;Marathon Oil Corp.;Energy;Oil & Gas Exploration & Production
NFX;Newfield Exploration Co;Energy;Oil & Gas Exploration & Production
NBL;Noble Energy Inc;Energy;Oil & Gas Exploration & Production
OXY;Occidental Petroleum;Energy;Oil & Gas Exploration & Production
OKE;ONEOK;Energy;Oil & Gas Exploration & Production
PXD;Pioneer Natural Resources;Energy;Oil & Gas Exploration & Production
QEP;QEP Resources;Energy;Oil & Gas Exploration & Production
RRC;Range Resources Corp.;Energy;Oil & Gas Exploration & Production
SWN;Southwestern Energy;Energy;Oil & Gas Exploration & Production
WMB;Williams Cos.;Energy;Oil & Gas Exploration & Production
KMI;Kinder Morgan;Energy;Oil & Gas Refining & Marketing & Transportation
MPC;Marathon Petroleum;Energy;Oil & Gas Refining & Marketing & Transportation
PSX;Phillips 66;Energy;Oil & Gas Refining & Marketing & Transportation
SE;Spectra Energy Corp.;Energy;Oil & Gas Refining & Marketing & Transportation
TSO;Tesoro Petroleum Co.;Energy;Oil & Gas Refining & Marketing & Transportation
VLO;Valero Energy;Energy;Oil & Gas Refining & Marketing & Transportation
AMG;Affiliated Managers Group Inc;Financials;Asset Management & Custody Banks
BAC;Bank of America Corp;Financials;Banks
BK;The Bank of New York Mellon Corp.;Financials;Banks
BBT;BB&T Corporation;Financials;Banks
C;Citigroup Inc.;Financials;Banks
CMA;Comerica Inc.;Financials;Banks
FITB;Fifth Third Bancorp;Financials;Banks
HCBK;Hudson City Bancorp;Financials;Banks
HBAN;Huntington Bancshares;Financials;Banks
JPM;JPMorgan Chase & Co.;Financials;Banks
KEY;KeyCorp;Financials;Banks
MTB;M&T Bank Corp.;Financials;Banks
PBCT;People's United Bank;Financials;Banks
PNC;PNC Financial Services;Financials;Banks
STI;SunTrust Banks;Financials;Banks
USB;U.S. Bancorp;Financials;Banks
WFC;Wells Fargo;Financials;Banks
ZION;Zions Bancorp;Financials;Banks
AXP;American Express Co;Financials;Consumer Finance
HRB;Block H&R;Financials;Consumer Finance
COF;Capital One Financial;Financials;Consumer Finance
DFS;Discover Financial Services;Financials;Consumer Finance
NAVI;Navient;Financials;Consumer Finance
AMP;Ameriprise Financial;Financials;Diversified Financial Services
BLK;BlackRock;Financials;Diversified Financial Services
SCHW;Charles Schwab Corporation;Financials;Diversified Financial Services
CME;CME Group Inc.;Financials;Diversified Financial Services
ETFC;E-Trade;Financials;Diversified Financial Services
EFX;Equifax Inc.;Financials;Diversified Financial Services
BEN;Franklin Resources;Financials;Diversified Financial Services
GS;Goldman Sachs Group;Financials;Diversified Financial Services
ICE;Intercontinental Exchange;Financials;Diversified Financial Services
IVZ;Invesco Ltd.;Financials;Diversified Financial Services
LM;Legg Mason;Financials;Diversified Financial Services
MHFI;McGraw Hill Financial;Financials;Diversified Financial Services
MCO;Moody's Corp;Financials;Diversified Financial Services
MS;Morgan Stanley;Financials;Diversified Financial Services
NDAQ;NASDAQ OMX Group;Financials;Diversified Financial Services
NTRS;Northern Trust Corp.;Financials;Diversified Financial Services
PFG;Principal Financial Group;Financials;Diversified Financial Services
PLD;Prologis;Financials;Diversified Financial Services
PRU;Prudential Financial;Financials;Diversified Financial Services
RF;Regions Financial Corp.;Financials;Diversified Financial Services
STT;State Street Corp.;Financials;Diversified Financial Services
TROW;T. Rowe Price Group;Financials;Diversified Financial Services
UNM;Unum Group;Financials;Diversified Financial Services
VTR;Ventas Inc;Financials;Diversified Financial Services
AON;Aon plc;Financials;Insurance Brokers
MMC;Marsh & McLennan;Financials;Insurance Brokers
AFL;AFLAC Inc;Financials;Life & Health Insurance
GNW;Genworth Financial Inc.;Financials;Life & Health Insurance
MET;MetLife Inc.;Financials;Life & Health Insurance
TMK;Torchmark Corp.;Financials;Life & Health Insurance
AIZ;Assurant Inc;Financials;Multi-line Insurance
LNC;Lincoln National;Financials;Multi-line Insurance
BRK.B;Berkshire Hathaway;Financials;Multi-Sector Holdings
LUK;Leucadia National Corp.;Financials;Multi-Sector Holdings
L;Loews Corp.;Financials;Multi-Sector Holdings
ACE;ACE Limited;Financials;Property & Casualty Insurance
ALL;Allstate Corp;Financials;Property & Casualty Insurance
AIG;American International Group, Inc.;Financials;Property & Casualty Insurance
CB;Chubb Corp.;Financials;Property & Casualty Insurance
CINF;Cincinnati Financial;Financials;Property & Casualty Insurance
HIG;Hartford Financial Svc.Gp.;Financials;Property & Casualty Insurance
PGR;Progressive Corp.;Financials;Property & Casualty Insurance
TRV;The Travelers Companies Inc.;Financials;Property & Casualty Insurance
XL;XL Capital;Financials;Property & Casualty Insurance
CBG;CBRE Group;Financials;Real Estate Management & Development
AMT;American Tower Corp A;Financials;REITs
AIV;Apartment Investment & Mgmt;Financials;REITs
AVB;AvalonBay Communities, Inc.;Financials;REITs
BXP;Boston Properties;Financials;REITs
CCI;Crown Castle International Corp.;Financials;REITs
EQR;Equity Residential;Financials;REITs
GGP;General Growth Properties Inc.;Financials;REITs
HCP;HCP Inc.;Financials;REITs
HCN;Health Care REIT, Inc.;Financials;REITs
HST;Host Hotels & Resorts;Financials;REITs
KIM;Kimco Realty;Financials;REITs
PCL;Plum Creek Timber Co.;Financials;REITs
PSA;Public Storage;Financials;REITs
SPG;Simon Property Group Inc;Financials;REITs
VNO;Vornado Realty Trust;Financials;REITs
WY;Weyerhaeuser Corp.;Financials;REITs
ESS;Essex Property Trust Inc;Financials;Residential REITs
MAC;Macerich;Financials;Retail REITs
ALXN;Alexion Pharmaceuticals;Health Care;Biotechnology
AMGN;Amgen Inc;Health Care;Biotechnology
BIIB;BIOGEN IDEC Inc.;Health Care;Biotechnology
CELG;Celgene Corp.;Health Care;Biotechnology
GILD;Gilead Sciences;Health Care;Biotechnology
REGN;Regeneron;Health Care;Biotechnology
VRTX;Vertex Pharmaceuticals Inc;Health Care;Biotechnology
ABC;AmerisourceBergen Corp;Health Care;Health Care Distribution & Services
BMY;Bristol-Myers Squibb;Health Care;Health Care Distributors & Services
CAH;Cardinal Health Inc.;Health Care;Health Care Distributors & Services
CERN;Cerner;Health Care;Health Care Distributors & Services
ESRX;Express Scripts;Health Care;Health Care Distributors & Services
MCK;McKesson Corp.;Health Care;Health Care Distributors & Services
WAT;Waters Corporation;Health Care;Health Care Distributors & Services
ABT;Abbott Laboratories;Health Care;Health Care Equipment & Services
A;Agilent Technologies Inc;Health Care;Health Care Equipment & Services
BCR;Bard (C.R.) Inc.;Health Care;Health Care Equipment & Services
BAX;Baxter International Inc.;Health Care;Health Care Equipment & Services
BDX;Becton Dickinson;Health Care;Health Care Equipment & Services
BSX;Boston Scientific;Health Care;Health Care Equipment & Services
CFN;Carefusion;Health Care;Health Care Equipment & Services
EW;Edwards Lifesciences;Health Care;Health Care Equipment & Services
HSP;Hospira Inc.;Health Care;Health Care Equipment & Services
ISRG;Intuitive Surgical Inc.;Health Care;Health Care Equipment & Services
JNJ;Johnson & Johnson;Health Care;Health Care Equipment & Services
MDT;Medtronic Inc.;Health Care;Health Care Equipment & Services
PKI;PerkinElmer;Health Care;Health Care Equipment & Services
STJ;St Jude Medical;Health Care;Health Care Equipment & Services
SYK;Stryker Corp.;Health Care;Health Care Equipment & Services
TMO;Thermo Fisher Scientific;Health Care;Health Care Equipment & Services
VAR;Varian Medical Systems;Health Care;Health Care Equipment & Services
ZMH;Zimmer Holdings;Health Care;Health Care Equipment & Services
DVA;DaVita Inc.;Health Care;Health Care Facilities
HCA;HCA Holdings;Health Care;Health Care Facilities
LH;Laboratory Corp. of America Holding;Health Care;Health Care Facilities
DGX;Quest Diagnostics;Health Care;Health Care Facilities
THC;Tenet Healthcare Corp.;Health Care;Health Care Facilities
UHS;Universal Health Services, Inc.;Health Care;Health Care Facilities
XRAY;Dentsply International;Health Care;Health Care Supplies
PDCO;Patterson Companies;Health Care;Health Care Supplies
AET;Aetna Inc;Health Care;Managed Health Care
CI;CIGNA Corp.;Health Care;Managed Health Care
HUM;Humana Inc.;Health Care;Managed Health Care
UNH;United Health Group Inc.;Health Care;Managed Health Care
ANTM;Anthem Inc.;Health Care;Managed Health Care
ABBV;AbbVie;Health Care;Pharmaceuticals
ACT;Actavis plc;Health Care;Pharmaceuticals
AGN;Allergan Inc;Health Care;Pharmaceuticals
ENDP;Endo International;Health Care;Pharmaceuticals
LLY;Lilly (Eli) & Co.;Health Care;Pharmaceuticals
MNK;Mallinckrodt Plc;Health Care;Pharmaceuticals
MRK;Merck & Co.;Health Care;Pharmaceuticals
MYL;Mylan Inc.;Health Care;Pharmaceuticals
PRGO;Perrigo;Health Care;Pharmaceuticals
PFE;Pfizer Inc.;Health Care;Pharmaceuticals
ZTS;Zoetis;Health Care;Pharmaceuticals
BA;Boeing Company;Industrials;Aerospace & Defense
FLIR;FLIR Systems;Industrials;Aerospace & Defense
GD;General Dynamics;Industrials;Aerospace & Defense
LMT;Lockheed Martin Corp.;Industrials;Aerospace & Defense
NOC;Northrop Grumman Corp.;Industrials;Aerospace & Defense
RTN;Raytheon Co.;Industrials;Aerospace & Defense
CHRW;C. H. Robinson Worldwide;Industrials;Air Freight & Logistics
EXPD;Expeditors Int'l;Industrials;Air Freight & Logistics
FDX;FedEx Corporation;Industrials;Air Freight & Logistics
UPS;United Parcel Service;Industrials;Air Freight & Logistics
DAL;Delta Air Lines;Industrials;Airlines
LUV;Southwest Airlines;Industrials;Airlines
ALLE;Allegion;Industrials;Building Products
FAST;Fastenal Co;Industrials;Building Products
MAS;Masco Corp.;Industrials;Building Products
GLW;Corning Inc.;Industrials;Construction & Engineering
CAT;Caterpillar Inc.;Industrials;Construction & Farm Machinery & Heavy Trucks
DE;Deere & Co.;Industrials;Construction & Farm Machinery & Heavy Trucks
PCAR;PACCAR Inc.;Industrials;Construction & Farm Machinery & Heavy Trucks
DNB;Dun & Bradstreet;Industrials;Data Processing Services
IRM;Iron Mountain Incorporated;Industrials;Data Processing Services
ADT;ADT Corp;Industrials;Diversified Commercial Services
CTAS;Cintas Corporation;Industrials;Diversified Commercial Services
FLR;Fluor Corp.;Industrials;Diversified Commercial Services
APH;Amphenol Corp A;Industrials;Electrical Components & Equipment
AME;Ametek;Industrials;Electrical Components and Equipment
WM;Waste Management Inc.;Industrials;Environmental Services
MMM;3M Company;Industrials;Industrial Conglomerates
ETN;Eaton Corporation;Industrials;Industrial Conglomerates
EMR;Emerson Electric;Industrials;Industrial Conglomerates
GE;General Electric;Industrials;Industrial Conglomerates
HON;Honeywell Int'l Inc.;Industrials;Industrial Conglomerates
IR;Ingersoll-Rand PLC;Industrials;Industrial Conglomerates
JEC;Jacobs Engineering Group;Industrials;Industrial Conglomerates
LLL;L-3 Communications Holdings;Industrials;Industrial Conglomerates
LEG;Leggett & Platt;Industrials;Industrial Conglomerates
PLL;Pall Corp.;Industrials;Industrial Conglomerates
PH;Parker-Hannifin;Industrials;Industrial Conglomerates
PNR;Pentair Ltd.;Industrials;Industrial Conglomerates
PCP;Precision Castparts;Industrials;Industrial Conglomerates
PWR;Quanta Services Inc.;Industrials;Industrial Conglomerates
RSG;Republic Services Inc;Industrials;Industrial Conglomerates
RHI;Robert Half International;Industrials;Industrial Conglomerates
ROK;Rockwell Automation Inc.;Industrials;Industrial Conglomerates
COL;Rockwell Collins;Industrials;Industrial Conglomerates
ROP;Roper Industries;Industrials;Industrial Conglomerates
R;Ryder System;Industrials;Industrial Conglomerates
SRCL;Stericycle Inc;Industrials;Industrial Conglomerates
TXT;Textron Inc.;Industrials;Industrial Conglomerates
TYC;Tyco International;Industrials;Industrial Conglomerates
UTX;United Technologies;Industrials;Industrial Conglomerates
XYL;Xylem Inc.;Industrials;Industrial Conglomerates
CMI;Cummins Inc.;Industrials;Industrial Machinery
DHR;Danaher Corp.;Industrials;Industrial Machinery
DOV;Dover Corp.;Industrials;Industrial Machinery
FLS;Flowserve Corporation;Industrials;Industrial Machinery
ITW;Illinois Tool Works;Industrials;Industrial Machinery
JOY;Joy Global Inc.;Industrials;Industrial Machinery
GWW;Grainger (W.W.) Inc.;Industrials;Industrial Materials
PBI;Pitney-Bowes;Industrials;Office Services & Supplies
CSX;CSX Corp.;Industrials;Railroads
KSU;Kansas City Southern;Industrials;Railroads
NSC;Norfolk Southern Corp.;Industrials;Railroads
UNP;Union Pacific;Industrials;Railroads
NLSN;Nielsen Holdings;Industrials;Research & Consulting Services
URI;United Rentals, Inc.;Industrials;Trading Companies & Distributors
ADBE;Adobe Systems Inc;Information Technology;Application Software
ADSK;Autodesk Inc;Information Technology;Application Software
EA;Electronic Arts;Information Technology;Application Software
ORCL;Oracle Corp.;Information Technology;Application Software
SYMC;Symantec Corp.;Information Technology;Application Software
TDC;Teradata Corp.;Information Technology;Application Software
AAPL;Apple Inc.;Information Technology;Computer Hardware
HPQ;Hewlett-Packard;Information Technology;Computer Hardware
SNDK;SanDisk Corporation;Information Technology;Computer Storage & Peripherals
STX;Seagate Technology;Information Technology;Computer Storage & Peripherals
WDC;Western Digital;Information Technology;Computer Storage & Peripherals
ADS;Alliance Data Systems;Information Technology;Data Processing & Outsourced Services
TEL;TE Connectivity Ltd.;Information Technology;Electronic Equipment & Instruments
AKAM;Akamai Technologies Inc;Information Technology;Internet Software & Services
ADP;Automatic Data Processing;Information Technology;Internet Software & Services
CTXS;Citrix Systems;Information Technology;Internet Software & Services
EBAY;eBay Inc.;Information Technology;Internet Software & Services
FB;Facebook;Information Technology;Internet Software & Services
FIS;Fidelity National Information Services;Information Technology;Internet Software & Services
FISV;Fiserv Inc;Information Technology;Internet Software & Services
GOOGL;Google Inc Class A;Information Technology;Internet Software & Services
GOOG;Google Inc Class C;Information Technology;Internet Software & Services
INTU;Intuit Inc.;Information Technology;Internet Software & Services
MA;Mastercard Inc.;Information Technology;Internet Software & Services
NTAP;NetApp;Information Technology;Internet Software & Services
NFLX;Netflix Inc.;Information Technology;Internet Software & Services
PAYX;Paychex Inc.;Information Technology;Internet Software & Services
CRM;Salesforce.com;Information Technology;Internet Software & Services
TSS;Total System Services;Information Technology;Internet Software & Services
VRSN;Verisign Inc.;Information Technology;Internet Software & Services
V;Visa Inc.;Information Technology;Internet Software & Services
WU;Western Union Co;Information Technology;Internet Software & Services
YHOO;Yahoo Inc.;Information Technology;Internet Software & Services
ACN;Accenture plc;Information Technology;IT Consulting & Services
CTSH;Cognizant Technology Solutions;Information Technology;IT Consulting & Services
CSC;Computer Sciences Corp.;Information Technology;IT Consulting & Services
EMC;EMC Corp.;Information Technology;IT Consulting & Services
IBM;International Bus. Machines;Information Technology;IT Consulting & Services
XRX;Xerox Corp.;Information Technology;IT Consulting & Services
CSCO;Cisco Systems;Information Technology;Networking Equipment
FFIV;F5 Networks;Information Technology;Networking Equipment
JNPR;Juniper Networks;Information Technology;Networking Equipment
AMAT;Applied Materials Inc;Information Technology;Semiconductor Equipment
KLAC;KLA-Tencor Corp.;Information Technology;Semiconductor Equipment
LRCX;Lam Research;Information Technology;Semiconductor Equipment
ALTR;Altera Corp;Information Technology;Semiconductors
ADI;Analog Devices, Inc.;Information Technology;Semiconductors
AVGO;Avago Technologies;Information Technology;Semiconductors
BRCM;Broadcom Corporation;Information Technology;Semiconductors
FSLR;First Solar Inc;Information Technology;Semiconductors
INTC;Intel Corp.;Information Technology;Semiconductors
LLTC;Linear Technology Corp.;Information Technology;Semiconductors
MCHP;Microchip Technology;Information Technology;Semiconductors
MU;Micron Technology;Information Technology;Semiconductors
NVDA;Nvidia Corporation;Information Technology;Semiconductors
QCOM;QUALCOMM Inc.;Information Technology;Semiconductors
TXN;Texas Instruments;Information Technology;Semiconductors
XLNX;Xilinx Inc;Information Technology;Semiconductors
CA;CA, Inc.;Information Technology;Systems Software
MSFT;Microsoft Corp.;Information Technology;Systems Software
RHT;Red Hat Inc.;Information Technology;Systems Software
HRS;Harris Corporation;Information Technology;Telecommunications Equipment
MSI;Motorola Solutions Inc.;Information Technology;Telecommunications Equipment
AA;Alcoa Inc;Materials;Aluminum
MLM;Martin Marietta Materials;Materials;Construction Materials
VMC;Vulcan Materials;Materials;Construction Materials
DOW;Dow Chemical;Materials;Diversified Chemicals
DD;Du Pont (E.I.);Materials;Diversified Chemicals
EMN;Eastman Chemical;Materials;Diversified Chemicals
FMC;FMC Corporation;Materials;Diversified Chemicals
LYB;LyondellBasell;Materials;Diversified Chemicals
PPG;PPG Industries;Materials;Diversified Chemicals
SIAL;Sigma-Aldrich;Materials;Diversified Chemicals
ATI;Allegheny Technologies Inc;Materials;Diversified Metals & Mining
FCX;Freeport-McMoran Cp & Gld;Materials;Diversified Metals & Mining
CF;CF Industries Holdings Inc;Materials;Fertilizers & Agricultural Chemicals
MON;Monsanto Co.;Materials;Fertilizers & Agricultural Chemicals
MOS;The Mosaic Company;Materials;Fertilizers & Agricultural Chemicals
NEM;Newmont Mining Corp. (Hldg. Co.);Materials;Gold
APD;Air Products & Chemicals Inc;Materials;Industrial Gases
ARG;Airgas Inc;Materials;Industrial Gases
PX;Praxair Inc.;Materials;Industrial Gases
BLL;Ball Corp;Materials;Metal & Glass Containers
OI;Owens-Illinois Inc;Materials;Metal & Glass Containers
AVY;Avery Dennison Corp;Materials;Paper Packaging
MWV;MeadWestvaco Corporation;Materials;Paper Packaging
SEE;Sealed Air Corp.(New);Materials;Paper Packaging
IP;International Paper;Materials;Paper Products
ECL;Ecolab Inc.;Materials;Specialty Chemicals
IFF;Intl Flavors & Fragrances;Materials;Specialty Chemicals
SHW;Sherwin-Williams;Materials;Specialty Chemicals
NUE;Nucor Corp.;Materials;Steel
LVLT;Level 3 Communications;Telecommunications Services;Alternative Carriers
T;AT&T Inc;Telecommunications Services;Integrated Telecommunications Services
CTL;CenturyLink Inc;Telecommunications Services;Integrated Telecommunications Services
FTR;Frontier Communications;Telecommunications Services;Integrated Telecommunications Services
VZ;Verizon Communications;Telecommunications Services;Integrated Telecommunications Services
WIN;Windstream Communications;Telecommunications Services;Integrated Telecommunications Services
